image,image_id,coral_cover_pred,pct_bleached_pred,cover_pred__branching_acropora,cover_healthy_pred__branching_acropora,cover_pred__finger_acropora,cover_healthy_pred__finger_acropora,cover_pred__finger_porites,cover_healthy_pred__finger_porites,cover_pred__knob_porites,cover_healthy_pred__knob_porites,cover_pred__mounding_,cover_healthy_pred__mounding_,cover_pred__oddball,cover_healthy_pred__oddball,cover_pred__pocillopora_,cover_healthy_pred__pocillopora_,cover_pred__table_acropora,cover_healthy_pred__table_acropora,filename,split
yellowfin_segment.v18i.coco-segmentation/train\GPAB2751_jpg.rf.5c54bc040bd61f476b2936c0f427baaf.jpg,GPAB2751,0.0775767538595376,0.004729961995149,0.0529388945754268,0.0482089325802778,0.0,0.0,0.0,0.0,0.0214509441680125,0.0214509441680125,0.0031869151160981,0.0031869151160981,0.0,0.0,0.0,0.0,0.0,0.0,GPAB2751_jpg.rf.5c54bc040bd61f476b2936c0f427baaf.jpg,train
yellowfin_segment.v18i.coco-segmentation/train\GPAB2753_jpg.rf.ecc3e09a60fddd4051f8cc1817f5abe0.jpg,GPAB2753,0.201337371308738,0.0075279947304036,0.0022939259452722,0.0022939259452722,0.1716536431077559,0.1653998383017458,0.0,0.0,0.0239436322190492,0.0239436322190492,0.0034461700366605,0.0021719801122669,0.0,0.0,0.0,0.0,0.0,0.0,GPAB2753_jpg.rf.ecc3e09a60fddd4051f8cc1817f5abe0.jpg,train
yellowfin_segment.v18i.coco-segmentation/train\GPAB2755_jpg.rf.989ddbf0acb4906444222985aa1c08ad.jpg,GPAB2755,0.2968516850609633,0.087252723616971,0.0379635622010166,0.0379635622010166,0.2308146557766797,0.1621716344390395,0.0,0.0,0.0,0.0,0.0134466885465016,0.009463764803936,0.0,0.0,0.0,0.0,0.0146267785367652,0.0,GPAB2755_jpg.rf.989ddbf0acb4906444222985aa1c08ad.jpg,train
yellowfin_segment.v18i.coco-segmentation/train\GPAB2756_jpg.rf.e3eab669406113c45048b693e012a15e.jpg,GPAB2756,0.148860334573276,0.0257949043925465,0.0095069739573631,0.0095069739573631,0.1071990290423123,0.0853544014764087,0.0040943073380664,0.0040943073380664,0.0,0.0,0.0241097474088911,0.0241097474088911,0.0015843356256589,0.0,0.002365941200984,0.0,0.0,0.0,GPAB2756_jpg.rf.e3eab669406113c45048b693e012a15e.jpg,train
yellowfin_segment.v18i.coco-segmentation/train\GPAB2864_jpg.rf.bba294c9d2767e1fca67088d5f57ed2c.jpg,GPAB2864,0.1009365824056168,0.0179615649779249,0.0,0.0,0.0,0.0,0.0656299030386597,0.0656299030386597,0.0107437159487865,0.0107437159487865,0.0214941533214396,0.0035325883435146,0.0030688100967308,0.0030688100967308,0.0,0.0,0.0,0.0,GPAB2864_jpg.rf.bba294c9d2767e1fca67088d5f57ed2c.jpg,train
yellowfin_segment.v18i.coco-segmentation/train\GPAB2865_jpg.rf.bc51b557fce1c755711f160a6fb06174.jpg,GPAB2865,0.1546503611325023,0.0228720452140581,0.0,0.0,0.1251529123929613,0.1170343925657211,0.0,0.0,0.0,0.0,0.014743923352723,0.014743923352723,0.0,0.0,0.0147535253868179,0.0,0.0,0.0,GPAB2865_jpg.rf.bc51b557fce1c755711f160a6fb06174.jpg,train
yellowfin_segment.v18i.coco-segmentation/train\GPAB2869_jpg.rf.f5f4b6550e77b27a16ff75349110b44f.jpg,GPAB2869,0.4514607574468575,0.1082725364541224,0.0,0.0,0.4426220850624996,0.3416490149273222,0.0,0.0,0.0,0.0,0.0015392060654128,0.0015392060654128,0.0013308419255535,0.0,0.0,0.0,0.0059686243933914,0.0,GPAB2869_jpg.rf.f5f4b6550e77b27a16ff75349110b44f.jpg,train
yellowfin_segment.v18i.coco-segmentation/train\GPAB2870_jpg.rf.bf5e43594708726bc8b61ede51e9e0d6.jpg,GPAB2870,0.0837047720189044,0.0279995314207361,0.0060694457513879,0.0,0.0013625286380666,0.0013625286380666,0.0,0.0,0.0608020002957426,0.0503722708618593,0.0154707973337071,0.0039704410982422,0.0,0.0,0.0,0.0,0.0,0.0,GPAB2870_jpg.rf.bf5e43594708726bc8b61ede51e9e0d6.jpg,train
yellowfin_segment.v18i.coco-segmentation/train\GPAB2871_jpg.rf.504bfd08c70eccfa9fd23ba467a0b88b.jpg,GPAB2871,0.3330187066828237,0.0075395171713175,0.0,0.0,0.001327961315325,0.001327961315325,0.0921094324621727,0.0921094324621727,0.2295663913443424,0.2295663913443424,0.0100149215609834,0.0024754043896659,0.0,0.0,0.0,0.0,0.0,0.0,GPAB2871_jpg.rf.504bfd08c70eccfa9fd23ba467a0b88b.jpg,train
yellowfin_segment.v18i.coco-segmentation/train\GPAB2907_jpg.rf.bf31d322ee0d726153fd605a1778f741.jpg,GPAB2907,0.2541399170000172,0.0,0.056076839317641,0.056076839317641,0.1598623452392154,0.1598623452392154,0.0,0.0,0.010256892820175,0.010256892820175,0.0129329797224243,0.0129329797224243,0.0150108599005613,0.0150108599005613,0.0,0.0,0.0,0.0,GPAB2907_jpg.rf.bf31d322ee0d726153fd605a1778f741.jpg,train
